Iter 167, Training Accuracy: 0.9760000079870224, Training Loss: 0.2972309371107258, Testing Accuracy: 0.9796666741371155, Testing Loss: 0.24146515363827348
Iter 168, Training Accuracy: 0.97733334004879, Training Loss: 0.28130059462273493, Testing Accuracy: 0.9726666778326034, Testing Loss: 0.34018375212326646
Iter 169, Training Accuracy: 0.9763333469629287, Training Loss: 0.27490243763895705, Testing Accuracy: 0.9796666711568832, Testing Loss: 0.24080981605220586
Iter 170, Training Accuracy: 0.9719999998807907, Training Loss: 0.32820002088556066, Testing Accuracy: 0.9723333418369293, Testing Loss: 0.32817848958075047
Iter 171, Training Accuracy: 0.9780000060796737, Training Loss: 0.25736793247051537, Testing Accuracy: 0.9746666699647903, Testing Loss: 0.3174991032574326
Iter 172, Training Accuracy: 0.9823333382606506, Training Loss: 0.21314496983541176, Testing Accuracy: 0.9806666761636734, Testing Loss: 0.2323159811203368
Iter 173, Training Accuracy: 0.9653333336114883, Training Loss: 0.4241992235183716, Testing Accuracy: 0.9646666646003723, Testing Loss: 0.43358164047822356
Iter 174, Training Accuracy: 0.9786666750907898, Training Loss: 0.25022747192997485, Testing Accuracy: 0.9786666721105576, Testing Loss: 0.2502016318612732
Iter 175, Training Accuracy: 0.9766666740179062, Training Loss: 0.28678484493866563, Testing Accuracy: 0.9780000001192093, Testing Loss: 0.2788548883982003
Iter 176, Training Accuracy: 0.9740000069141388, Training Loss: 0.31460915599018335, Testing Accuracy: 0.9793333411216736, Testing Loss: 0.24516631290316582
Iter 177, Training Accuracy: 0.9773333460092545, Training Loss: 0.28007251815870404, Testing Accuracy: 0.97966668009758, Testing Loss: 0.24816361675038934
Iter 178, Training Accuracy: 0.9800000131130219, Training Loss: 0.2375619439408183, Testing Accuracy: 0.9783333450555801, Testing Loss: 0.26458243135130033
Iter 179, Training Accuracy: 0.9750000059604644, Training Loss: 0.3245514356531203, Testing Accuracy: 0.9763333410024643, Testing Loss: 0.2805158509872854
Iter 180, Training Accuracy: 0.973333340883255, Training Loss: 0.31445582132437266, Testing Accuracy: 0.9740000039339065, Testing Loss: 0.3233659937977791
Iter 181, Training Accuracy: 0.9790000021457672, Training Loss: 0.26212435704655945, Testing Accuracy: 0.981333339214325, Testing Loss: 0.23426619375823066
Iter 182, Training Accuracy: 0.9803333431482315, Training Loss: 0.23999946407275274, Testing Accuracy: 0.9780000060796737, Testing Loss: 0.2628278033807874
Iter 183, Training Accuracy: 0.9810000121593475, Training Loss: 0.2389093115052674, Testing Accuracy: 0.9830000132322312, Testing Loss: 0.21639320440590382
Iter 184, Training Accuracy: 0.9833333402872085, Training Loss: 0.20903484377777204, Testing Accuracy: 0.9803333461284638, Testing Loss: 0.2446590795298107
Iter 185, Training Accuracy: 0.9813333421945571, Training Loss: 0.21255980781279504, Testing Accuracy: 0.9760000050067902, Testing Loss: 0.27769867959432304
